food,calories,carbohydrates,fiber,net_carbs,fats,protein,vit-a_rae,vit-a,vit-b1,vit-b2,vit-b3,vit-b3,vit-b6,vit-b9,vit-c,vit-e,vit-k,choline,betaine,calcium,copper,fluoride,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,Other Names,Comments,Source
abiyuch,69,17.6,5.3,12.3,0.1,1.5,5,100,,,,,,,54.1,,,,,8,0.057,,1.61,24,0.182,47,304,,20,0.31,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167782/nutrients
acerola,32,7.69,1.1,6.59,0.3,0.4,38,767,0.02,0.06,0.4,0.309,0.009,14,1677.6,,,,,12,0.086,,0.2,18,,11,146,0.6,7,0.1,West Indian Cherry,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171686/nutrients
acorn,387,40.75,,,23.86,6.15,2,39,0.112,0.118,1.827,0.715,0.528,87,0,,,,,41,0.621,,0.79,62,1.337,79,539,,0,0.51,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170157/nutrients
apple,52,13.81,2.4,11.41,0.17,0.26,3,54,0.017,0.026,0.091,0.061,0.041,3,4.6,0.18,2.2,3.4,0.1,6,0.027,3.3,0.12,5,0.035,11,107,0,1,0.04,"Wild Apple, Malus",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171688/nutrients
apple crab,76,19.95,,,0.3,0.4,2,40,0.03,0.02,0.1,,,,8,,,,,18,0.067,,0.36,7,0.115,15,194,,1,,Green Apple,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171721/nutrients
apple granny smith,58,13.61,2.8,10.81,0.19,0.44,5,100,0.019,0.025,0.126,0.056,0.037,3,,0.18,3.2,3.4,,5,0.031,,0.15,5,0.044,12,120,0.1,1,0.04,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168203/nutrients
apple rose,25,5.7,,,0.3,0.6,17,339,0.02,0.03,0.8,,,,22.3,,,,,29,0.016,,0.07,5,0.029,8,123,,0,0.06,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168171/nutrients
apricot,48,11.12,2,9.12,0.39,1.4,96,1926,0.03,0.04,0.6,0.24,0.054,9,10,0.89,3.3,2.8,,13,0.078,,0.39,10,0.077,23,259,0.1,1,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171697/nutrients
avocado,160,8.53,6.7,1.83,14.66,2,7,146,0.067,0.13,1.738,1.389,0.257,81,10,2.07,21,14.2,0.7,12,0.19,7,0.55,29,0.142,52,485,0.4,7,0.64,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171705/nutrients
banana,89,22.84,2.6,20.24,0.33,1.09,3,64,0.031,0.073,0.665,0.334,0.367,20,8.7,0.1,0.5,9.8,0.1,5,0.078,2.2,0.26,27,0.27,22,358,1,1,0.15,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/nutrients
blackberry,43,9.61,5.3,4.31,0.49,1.39,11,214,0.02,0.026,0.646,0.276,0.03,25,21,1.17,19.8,8.5,0.3,29,0.165,,0.62,20,0.646,22,162,0.4,1,0.53,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173946/nutrients
blueberry,57,14.49,2.4,12.09,0.33,0.74,3,54,0.037,0.041,0.418,0.124,0.052,6,9.7,0.57,19.3,6,0.2,6,0.057,,0.28,6,0.336,12,77,0.1,1,0.16,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171711/nutrients
boysenberry,50,12.19,5.3,6.89,0.26,1.1,3,67,0.053,0.037,0.767,0.25,0.056,63,3.1,0.87,7.8,10.2,,27,0.08,,0.85,16,0.547,27,139,0.2,1,0.22,,"Frozen, Unsweetened",https://fdc.nal.usda.gov/fdc-app.html#/food-details/171713/nutrients
breadfruit,103,27.12,4.9,22.22,0.23,1.07,0,0,0.11,0.03,0.9,0.457,0.1,14,29,0.1,0.5,9.8,,17,0.084,,0.54,25,0.06,30,490,0.6,2,0.12,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171714/nutrients
breadfruit seed,191,29.24,5.2,24.04,5.59,7.4,13,256,0.482,0.301,0.438,0.877,0.32,53,6.6,,,,,36,1.148,,3.67,54,0.142,175,941,,25,0.9,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170144/nutrients
carambola,31,6.73,2.8,3.93,0.33,1.04,3,61,0.014,0.016,0.367,0.391,0.017,12,34.4,0.15,0,7.6,,3,0.137,,0.08,10,0.037,12,133,0.6,2,0.12,"Starfruit, Birambi",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171715/nutrients
cherry sour,50,12.18,1.6,10.58,0.3,1,64,1283,0.03,0.04,0.4,0.143,0.044,8,10,0.07,2.1,6.1,,16,0.104,,0.32,9,0.112,15,173,0,3,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173954/nutrients
cherry sweet,63,16.01,2.1,13.91,0.2,1.06,3,64,0.027,0.033,0.154,0.199,0.049,4,7,0.07,2.1,6.1,,13,0.06,2,0.36,11,0.07,21,222,0,0,0.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171719/nutrients
chestnut chinese,224,49.07,,,1.11,4.2,10,202,0.16,0.18,0.8,0.555,0.41,68,36,,,,,18,0.363,,1.41,84,1.601,96,447,,3,0.87,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170164/nutrients
chestnut european (with peel),213,45.54,8.1,37.44,2.26,2.42,1,28,0.238,0.168,1.179,0.509,0.376,62,43,,,,,27,0.447,,1.01,32,0.952,93,518,,3,0.52,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170574/nutrients
chestnut european (without peel),196,44.17,,,1.25,1.63,1,26,0.144,0.016,1.102,0.476,0.352,58,40.2,,,,,19,0.418,,0.94,30,0.336,38,484,,2,0.49,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170575/nutrients
chestnut japanese,154,34.91,,,0.53,2.25,2,37,0.344,0.163,1.5,0.206,0.283,47,26.3,,,,,31,0.562,,1.45,49,1.591,72,329,,14,1.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169413/nutrients
clementine,47,12.02,1.7,10.32,0.15,0.85,,,0.086,0.03,0.636,0.151,0.075,24,48.8,0.2,0,14,0.1,30,0.043,,0.14,10,0.023,21,177,0.1,1,0.06,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168195/nutrients
coconut meat,354,15.23,9,6.23,33.49,3.33,0,0,0.066,0.02,0.54,0.3,0.054,26,3.3,0.24,0.2,12.1,,14,0.435,,2.43,32,1.5,113,356,10.1,20,1.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170169/nutrients
cranberry,46,11.97,3.6,8.37,0.13,0.46,3,63,0.012,0.02,0.101,0.295,0.057,1,14,1.32,5,5.5,0.2,8,0.056,,0.23,6,0.267,11,80,0.1,2,0.09,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171722/nutrients
currant black,63,15.38,,,0.41,1.4,12,230,0.05,0.05,0.3,0.398,0.066,,181,1,,,,55,0.086,,1.54,24,0.256,59,322,,2,0.27,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173963/nutrients
"currant red, white",56,13.8,4.3,9.5,0.2,1.4,2,42,0.04,0.05,0.1,0.064,0.07,8,41,0.1,11,7.6,,33,0.107,,1,13,0.186,44,275,0.6,1,0.23,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173964/nutrients
custard apple,101,25.2,2.4,22.8,0.6,1.7,2,33,0.08,0.1,0.5,0.135,0.221,,19.2,,,,,30,,,0.71,18,,21,382,,4,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171725/nutrients
custard apple cherimoya,75,17.71,3,14.71,0.68,1.57,0,5,0.101,0.131,0.644,0.345,0.257,23,12.6,0.27,,,,10,0.069,,0.27,17,0.093,26,287,,7,0.16,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173953/nutrients
dates deglet noor,282,75.03,8,67.03,0.39,2.45,0,10,0.052,0.066,1.274,0.589,0.165,19,0.4,0.05,2.7,6.3,0.4,39,0.206,,1.02,43,0.262,62,656,3,2,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171726/nutrients
dates medjool,277,74.97,6.7,68.27,0.15,1.81,7,149,0.05,0.06,1.61,0.805,0.249,15,0,,2.7,9.9,0.4,64,0.362,,0.9,54,0.296,62,696,,1,0.44,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168191/nutrients
durian,147,27.09,3.8,23.29,5.33,1.47,2,44,0.374,0.2,1.074,0.23,0.316,36,19.7,,,,,6,0.207,,0.43,30,0.325,39,436,,2,0.28,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168192/nutrients
elderberry,73,18.4,7,11.4,0.5,0.66,30,600,0.07,0.06,0.5,0.14,0.23,6,36,,,,,38,0.061,,1.6,5,,39,280,0.6,6,0.11,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171727/nutrients
feijoa,61,15.21,6.4,8.81,0.42,0.71,0,6,0.006,0.018,0.295,0.233,0.067,23,32.9,0.16,3.5,,,17,0.036,,0.14,9,0.084,19,172,,3,0.06,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168176/nutrients
fig,74,19.18,2.9,16.28,0.3,0.75,7,142,0.06,0.05,0.4,0.3,0.113,6,2,0.11,4.7,4.7,,35,0.07,,0.37,17,0.128,14,232,0.2,1,0.15,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173021/nutrients
gooseberry,44,10.18,4.3,5.88,0.58,0.88,15,290,0.04,0.03,0.3,0.286,0.08,6,27.7,0.37,,,,25,0.07,,0.31,10,0.144,27,198,0.6,1,0.12,Amla,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173030/nutrients
"grapefruit pink, red, white",32,8.08,1.1,6.98,0.1,0.63,46,927,0.036,0.02,0.25,0.283,0.042,10,34.4,0.13,0,7.7,,12,0.047,1,0.09,8,0.012,8,139,0.3,0,0.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173033/nutrients
grapes american type,67,17.15,0.9,16.25,0.35,0.63,5,100,0.092,0.057,0.3,0.024,0.11,4,4,0.19,14.6,5.6,,14,0.04,,0.29,5,0.718,10,191,0.1,2,0.04,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174682/nutrients
grapes european type,69,18.1,0.9,17.2,0.16,0.72,3,66,0.069,0.07,0.188,0.05,0.086,2,3.2,0.19,14.6,5.6,0.1,10,0.127,7.8,0.36,7,0.071,20,191,0.1,2,0.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174683/nutrients
grapes muscadine,57,13.93,3.9,10.03,0.47,0.81,3,67,,1.5,,,,2,6.5,,,,,37,0.119,,0.26,14,1.973,24,203,,1,0.11,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173040/nutrients
guava,68,14.32,5.4,8.92,0.95,2.55,31,624,0.067,0.04,1.084,0.451,0.11,49,228.3,0.73,2.6,7.6,,18,0.23,,0.26,22,0.15,40,417,0.6,2,0.23,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173044/nutrients
guava strawberry,69,17.36,5.4,11.96,0.6,0.58,5,90,0.03,0.03,0.6,,,,37,,,,,21,,,0.22,17,,27,292,,37,,"Purple, Cherry Guava",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173045/nutrients
jackfruit,95,23.25,1.5,21.75,0.64,1.72,5,110,0.105,0.055,0.92,0.235,0.329,24,13.7,0.34,,,,24,0.076,,0.23,29,0.043,21,448,,2,0.13,Kathal,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174687/nutrients
jujube,79,20.23,,,0.2,1.2,2,40,0.02,0.04,0.9,,0.081,,69,,,,,21,0.073,,0.48,10,0.084,23,250,,3,0.05,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168151/nutrients
kiwifruit,61,14.66,3,11.66,0.52,1.14,4,87,0.027,0.025,0.341,0.183,0.063,25,92.7,1.46,40.3,7.8,0.5,34,0.13,,0.31,17,0.098,34,312,0.2,3,0.14,Chinese Gooseberry,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168153/nutrients
kumquat,71,15.9,6.5,9.4,0.86,1.88,15,290,0.037,0.09,0.429,0.208,0.036,17,43.9,0.15,0,8.4,,62,0.095,,0.86,20,0.135,19,186,0,10,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168154/nutrients
lemon juice,22,6.9,0.3,6.6,0.24,0.35,0,6,0.024,0.015,0.091,0.131,0.046,20,38.7,0.15,0,5.1,,6,0.016,,0.08,6,0.012,8,103,0.1,1,0.05,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients
lemon peel,47,16,10.6,5.4,0.3,1.5,3,50,0.06,0.08,0.4,0.319,0.172,13,129,0.25,0,8.5,,134,0.092,,0.8,15,,12,160,0.7,6,0.25,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167749/nutrients
lime,30,10.54,2.8,7.74,0.2,0.7,2,50,0.03,0.02,0.2,0.217,0.043,8,29.1,0.22,0.6,5.1,,33,0.065,,0.6,6,0.008,18,102,0.4,2,0.11,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168155/nutrients
lime juice,25,8.42,0.4,8.02,0.07,0.42,2,50,0.025,0.015,0.142,0.123,0.038,10,30,0.22,0.6,5.1,0.2,14,0.027,,0.09,8,0.018,14,117,0.1,2,0.08,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients
litchi,66,16.53,1.3,15.23,0.44,0.83,0,0,0.011,0.065,0.603,,0.1,14,71.5,0.07,0.4,7.1,,5,0.148,,0.31,10,0.055,31,171,0.6,1,0.07,Lychee,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169086/nutrients
loganberry,55,13.02,5.3,7.72,0.31,1.52,2,35,0.05,0.034,0.84,0.244,0.065,26,15.3,0.87,7.8,8.5,,26,0.117,,0.64,21,1.247,26,145,0.2,1,0.34,,Frozen,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169088/nutrients
longan,60,15.14,1.1,14.04,0.1,1.31,,,0.031,0.14,0.3,,,,84,,,,,1,0.169,,0.13,10,0.052,21,266,,0,0.05,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169089/nutrients
loquat,47,12.14,1.7,10.44,0.2,0.43,76,1528,0.019,0.024,0.18,,0.1,14,1,,,,,16,0.04,,0.28,13,0.148,27,266,0.6,1,0.05,Japanese Plum,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169908/nutrients
lotus seed,89,17.28,,,0.53,4.13,1,13,0.171,0.04,0.429,0.228,0.168,28,0,,,,,44,0.094,,0.95,56,0.621,168,367,,1,0.28,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168591/nutrients
mamey apple,51,12.5,3,9.5,0.5,0.5,12,230,0.02,0.04,0.4,0.103,0.1,14,14,,,,,11,0.086,,0.7,16,,11,47,0.6,15,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169909/nutrients
mango,60,14.98,1.6,13.38,0.38,0.82,54,1082,0.028,0.038,0.669,0.197,0.119,43,36.4,0.9,4.2,7.6,,11,0.111,,0.16,10,0.063,14,168,0.6,1,0.09,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169910/nutrients
melon cantaloupe,34,8.16,0.9,7.26,0.19,0.84,169,3382,0.041,0.019,0.734,0.105,0.072,21,36.7,0.05,2.5,7.6,0.1,9,0.041,1,0.21,12,0.041,15,267,0.4,16,0.18,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169092/nutrients
melon casaba,28,6.58,0.9,5.68,0.1,1.11,0,0,0.015,0.031,0.232,0.084,0.163,8,21.8,0.05,2.5,7.6,,11,0.06,,0.34,11,0.035,5,182,0.4,9,0.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169093/nutrients
melon honeydew,36,9.09,0.8,8.29,0.14,0.54,3,50,0.038,0.012,0.418,0.155,0.088,19,18,0.02,2.9,7.6,,6,0.024,,0.17,10,0.027,11,228,0.7,18,0.09,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169911/nutrients
mulberry,43,9.8,1.7,8.1,0.39,1.44,1,25,0.029,0.101,0.62,,0.05,6,36.4,0.87,7.8,12.3,,39,0.06,,1.85,18,,38,194,0.6,10,0.12,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169913/nutrients
oheloberry,28,6.84,,,0.22,0.38,42,830,0.017,0.036,0.27,,,,6,,,,,7,,,0.09,6,,10,38,,1,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169915/nutrients
olive black,105,6.06,3,3.06,9.54,0.88,19,,0.003,0,0.032,,0.01,0,1.1,1.65,1.4,9.2,,90,0.244,,3.31,4,,3,8,0.9,735,0.22,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/788842/nutrients
olive green,145,3.84,3.3,0.54,15.32,1.03,20,,0.021,0.007,0.237,,0.031,3,0,3.81,1.4,14.2,,52,0.12,,0.49,11,,4,42,0.9,1556,0.04,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/788841/nutrients
opuntia,41,9.57,3.6,5.97,0.51,0.73,2,43,0.014,0.06,0.46,,0.06,6,14,,,,,56,0.08,,0.3,85,,24,220,0.6,5,0.12,Prickly Pear,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167750/nutrients
orange,47,11.75,2.4,9.35,0.12,0.94,11,225,0.087,0.04,0.282,0.25,0.06,30,53.2,0.18,0,8.4,,40,0.045,,0.1,10,0.025,14,181,0.5,0,0.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169097/nutrients
orange navel,49,12.54,2.2,10.34,0.15,0.91,12,247,0.068,0.051,0.425,0.261,0.079,34,59.1,0.15,0,8.4,0.1,43,0.039,,0.13,11,0.029,23,166,0,1,0.08,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169917/nutrients
orange peel,97,25,10.6,14.4,0.2,1.5,21,420,0.12,0.09,0.9,0.49,0.176,30,136,0.25,,,,161,0.092,,0.8,22,,21,212,1,3,0.25,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169103/nutrients
orange tangerine,53,13.34,1.8,11.54,0.31,0.81,34,681,0.058,0.036,0.376,0.216,0.078,16,26.7,0.2,0,10.2,0.1,37,0.042,,0.15,12,0.039,20,166,0.1,2,0.07,Mandarin Orange,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169105/nutrients
papaya,43,10.82,1.7,9.12,0.26,0.47,47,950,0.023,0.027,0.357,0.191,0.038,37,60.9,0.3,2.6,6.1,,20,0.045,,0.25,21,0.04,10,182,0.6,8,0.08,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169926/nutrients
passion fruit purple,97,23.38,10.4,12.98,0.7,2.2,64,1272,0,0.13,1.5,,0.1,14,30,0.02,0.7,7.6,,12,0.086,,1.6,29,,68,348,0.6,28,0.1,Granadilla,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169108/nutrients
peach yellow,39,9.54,1.5,8.04,0.25,0.91,16,326,0.024,0.031,0.806,0.153,0.025,4,6.6,0.73,2.6,6.1,0.3,6,0.068,4,0.25,9,0.061,20,190,0.1,0,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169928/nutrients
peach nectarine,44,10.55,1.7,8.85,0.32,1.06,17,332,0.034,0.027,1.125,0.185,0.025,5,5.4,0.77,2.2,6.2,0.2,6,0.086,,0.28,9,0.054,26,201,0,0,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169914/nutrients
pear,57,15.23,3.1,12.13,0.14,0.36,1,25,0.012,0.026,0.161,0.049,0.029,7,4.3,0.12,4.4,5.1,0.2,9,0.082,2.2,0.18,7,0.048,12,116,0.1,1,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169118/nutrients
pear asian,42,10.65,3.6,7.05,0.23,0.5,0,0,0.009,0.01,0.219,0.07,0.022,8,3.8,0.12,4.5,5.1,,4,0.05,,0,8,0.06,11,121,0.1,0,0.02,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168177/nutrients
pear bartlett,63,15.01,3.1,11.91,0.16,0.39,1,28,0.012,0.026,0.164,0.042,0.026,6,4.4,0.12,3.8,5.1,,9,0.078,,0.19,6,0.037,11,101,0.1,1,0.08,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167776/nutrients
pear bosc,67,16.1,3.1,13,0.09,0.36,1,19,0.012,0.023,0.152,0.057,0.021,7,2.8,0.12,5.2,5.1,,10,0.104,,0.15,7,0.047,14,122,0,1,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167778/nutrients
pear green anjou,66,15.79,3.1,12.69,0.1,0.44,1,25,0.01,0.022,0.151,0.043,0.026,9,4.4,0.12,4.3,5.1,,11,0.077,,0.24,7,0.048,13,127,0,1,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167779/nutrients
pear red anjou,62,14.94,3,11.94,0.14,0.33,1,24,0.012,0.028,0.162,0.053,0.039,7,5.2,0.12,4.9,5.1,,11,0.07,,0.19,7,0.056,13,123,0.1,1,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167777/nutrients
persimmon,70,18.59,3.6,14.99,0.19,0.58,81,1627,0.03,0.02,0.1,,0.1,8,7.5,0.73,2.6,7.6,,8,0.113,,0.15,9,0.355,17,161,0.6,1,0.11,,Japanese,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169941/nutrients
physalis,53,11.2,,,0.7,1.9,36,720,0.11,0.04,2.8,,,,11,,,,,9,,,1,,,40,,,,,Ground Cherry,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173043/nutrients
pineapple,45,11.82,,,0.13,0.55,3,52,0.078,0.029,0.47,0.193,0.106,11,16.9,,0.7,5.6,0.1,13,0.081,,0.25,12,1.593,9,125,0,1,0.08,Ananas,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168193/nutrients
pineapple extra sweet,51,13.5,1.4,12.1,0.11,0.53,3,57,0.08,0.033,0.507,0.217,0.114,19,56.4,0.02,0.7,5.4,0.1,13,0.113,,0.28,12,0.818,8,108,0.1,1,0.12,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168194/nutrients
pitanga,33,7.49,,,0.4,0.8,75,1500,0.03,0.04,0.3,,,,26.3,,,,,9,,,0.2,12,,11,103,,3,,Suriname Cherry,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169129/nutrients
plantain green,152,36.66,2.2,34.46,0.07,1.25,,,0.1,0.1,0.55,0.53,0.07,28,20.2,,,,,2,0.116,,0.75,41,0.109,31,431,,2,0.18,,type of Banana,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168215/nutrients
plantain yellow,122,31.89,1.7,30.19,0.35,1.3,56,1127,0.062,0.076,0.672,0.3,0.242,22,18.4,0,28.8,13.5,,3,0.074,,0.55,36,0.144,32,487,1.5,4,0.19,,type of Banana,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169130/nutrients
plum,46,11.42,1.4,10.02,0.28,0.7,17,345,0.028,0.026,0.417,0.135,0.029,5,9.5,0.26,6.4,1.9,,6,0.057,2,0.17,7,0.052,16,157,0,0,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169949/nutrients
plum java,60,15.56,,,0.23,0.72,0,3,0.006,0.012,0.26,,0.038,,14.3,,,,,19,,,0.19,15,,17,79,,14,,"Jamun, Jambolan, Black Plum",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168150/nutrients
pomegranate,83,18.7,4,14.7,1.17,1.67,0,0,0.067,0.053,0.293,0.377,0.075,38,10.2,0.6,16.4,7.6,,10,0.158,,0.3,12,0.119,36,236,0.5,3,0.35,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169134/nutrients
pummelo,38,9.62,1,8.62,0.04,0.76,0,8,0.034,0.027,0.22,,0.036,,61,,,,,4,0.048,,0.11,6,0.017,17,216,,1,0.08,Pomelo,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167754/nutrients
