food,calories,carbohydrates,fiber,net_carbs,fats,protein,vit-a_rae,vit-a,vit-b1,vit-b2,vit-b3,vit-b3,vit-b6,vit-b9,vit-c,vit-e,vit-k,choline,betaine,calcium,copper,fluoride,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,Other Names,Comments,Source
lima bean seeds (immature),113,20.17,4.9,15.27,0.86,6.84,10,209,0.217,0.103,1.474,0.247,0.204,34,23.4,0.32,5.6,40,,34,0.318,,3.14,58,1.215,136,467,1.8,8,0.78,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168396/nutrients
lime,30,10.54,2.8,7.74,0.2,0.7,2,50,0.03,0.02,0.2,0.217,0.043,8,29.1,0.22,0.6,5.1,,33,0.065,,0.6,6,0.008,18,102,0.4,2,0.11,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168155/nutrients
lime juice,25,8.42,0.4,8.02,0.07,0.42,2,50,0.025,0.015,0.142,0.123,0.038,10,30,0.22,0.6,5.1,0.2,14,0.027,,0.09,8,0.018,14,117,0.1,2,0.08,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients
lotus root,74,17.23,4.9,12.33,0.1,2.6,0,0,0.16,0.22,0.4,0.377,0.258,13,44,,,,,45,0.257,,1.16,23,0.261,100,556,0.7,40,0.39,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169250/nutrients
moringa leaves,64,8.28,2,6.28,1.4,9.4,378,7564,0.257,0.66,2.22,0.125,1.2,40,51.7,,,,,185,0.105,,4,42,1.063,112,337,0.9,9,0.6,Drumstick Leaves,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168416/nutrients
moringa pods,37,8.53,3.2,5.33,0.2,2.1,4,74,0.053,0.074,0.62,0.794,0.12,44,141,,,,,30,0.084,,0.36,45,0.259,50,461,0.7,42,0.45,Drumstick Pods,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170483/nutrients
mushroom chanterelle,32,6.86,3.8,3.06,0.53,1.49,,,0.015,0.215,4.085,1.075,0.044,2,,,,,,15,0.353,,3.47,13,0.286,57,506,2.2,9,0.71,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168422/nutrients
mushroom cremini/italian,22,4.3,0.6,3.7,0.1,2.5,0,0,0.095,0.49,3.8,1.5,0.11,25,0,0.01,0,22.1,11.1,18,0.5,,0.4,9,0.142,120,448,26,6,1.1,,Vit-B12: 0.1 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168434/nutrients
mushroom enoki,37,7.81,2.7,5.11,0.29,2.66,,,0.225,0.2,7.032,1.35,0.1,48,0,0.01,0.5,47.7,1.4,0,0.107,,1.15,16,0.075,105,359,2.2,3,0.65,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169382/nutrients
mushroom maitake,31,6.97,2.7,4.27,0.19,1.94,0,0,0.146,0.242,6.585,0.27,0.056,21,0,0.01,0,51.1,,1,0.252,,0.3,10,0.059,74,204,2.2,1,0.75,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169403/nutrients
mushroom morel,31,5.1,2.8,2.3,0.57,3.12,0,0,0.069,0.205,2.252,0.44,0.136,9,,,,,,43,0.625,,12.18,19,0.587,194,411,2.2,21,2.03,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168423/nutrients
mushroom oyster,33,6.09,2.3,3.79,0.41,3.31,2,48,0.125,0.349,4.956,1.294,0.11,38,0,0,0,48.7,12.1,3,0.244,,1.33,18,0.113,120,420,2.6,18,0.77,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168580/nutrients
mushroom portobello,22,3.87,1.3,2.57,0.35,2.11,0,0,0.059,0.13,4.494,1.14,0.148,28,0,0.02,1.8,21.2,6.1,3,0.286,,0.31,,0.069,108,364,18.6,9,0.53,Portabella Mushroom,Vit-B12: 0.1 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169255/nutrients
mushroom shiitake,34,6.79,2.5,4.29,0.49,2.24,,,0.015,0.217,3.877,1.5,0.293,13,,,,,,2,0.142,,0.41,20,0.23,112,304,5.7,9,1.03,,Vit-D: 0.4 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169242/nutrients
mushroom white,22,3.26,1,2.26,0.34,3.09,0,0,0.081,0.402,3.607,1.497,0.104,17,2.1,0.01,1,17.3,9.4,3,0.318,,0.5,9,0.047,86,318,9.3,5,0.52,,Vit-D: 0.2 µg,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169251/nutrients
mustard greens,27,4.67,3.2,1.47,0.42,2.86,151,3024,0.08,0.11,0.8,0.21,0.18,12,70,2.01,257.5,0.5,,115,0.165,,1.64,32,,58,384,0.9,20,0.25,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169256/nutrients
mustard spinach,22,3.9,2.8,1.1,0.3,2.2,495,9900,0.068,0.093,0.678,0.178,0.153,159,130,,,,,210,0.075,,1.5,11,0.407,28,449,0.8,21,0.17,Komatsuna,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168438/nutrients
okra,33,7.45,3.2,4.25,0.19,1.93,36,716,0.2,0.06,1,0.245,0.215,60,23,0.27,31.3,12.3,,82,0.109,,0.62,57,0.788,61,299,0.7,7,0.58,"Ladyfinger, Bhindi",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169260/nutrients
olive black,105,6.06,3,3.06,9.54,0.88,19,,0.003,0,0.032,,0.01,0,1.1,1.65,1.4,9.2,,90,0.244,,3.31,4,,3,8,0.9,735,0.22,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/788842/nutrients
olive green,145,3.84,3.3,0.54,15.32,1.03,20,,0.021,0.007,0.237,,0.031,3,0,3.81,1.4,14.2,,52,0.12,,0.49,11,,4,42,0.9,1556,0.04,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/788841/nutrients
onion,40,9.34,1.7,7.64,0.1,1.1,0,2,0.046,0.027,0.116,0.123,0.12,19,7.4,0.02,0.4,6.1,0.1,23,0.039,1.1,0.21,10,0.129,29,146,0.5,4,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170000/nutrients
onion shallot,72,16.8,3.2,13.6,0.1,2.5,0,4,0.06,0.02,0.2,0.29,0.345,34,8,0.04,0.8,11.3,,37,0.088,,1.2,21,0.292,60,334,1.2,12,0.4,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170499/nutrients
onion spring,32,7.34,2.6,4.74,0.19,1.83,50,997,0.055,0.08,0.525,0.075,0.061,64,18.8,0.55,207,5.7,,72,0.083,,1.48,20,0.16,37,276,0.6,16,0.39,Scallion,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170005/nutrients
onion sweet,32,7.55,0.9,6.65,0.08,0.8,0,1,0.041,0.02,0.133,0.098,0.13,23,4.8,0.02,0.3,5.5,0.1,20,0.056,,0.26,9,0.076,27,119,0.5,8,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170008/nutrients
onion welsh,34,6.5,2.4,4.1,0.4,1.9,,1160,0.05,0.09,0.4,0.169,0.072,16,27,0.51,193.4,5.3,,18,0.07,,1.22,23,0.137,49,212,0.6,17,0.52,Bunching Onion,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170007/nutrients
parsley,36,6.33,3.3,3.03,0.79,2.97,421,8424,0.086,0.098,1.313,0.4,0.09,152,133,0.75,1640,12.8,,138,0.149,,6.2,50,0.16,58,554,0.1,56,1.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170416/nutrients
parsnip,75,17.99,4.9,13.09,0.3,1.2,0,0,0.09,0.05,0.7,0.6,0.09,67,17,1.49,22.5,,,36,0.12,,0.59,29,0.56,71,375,1.8,10,0.59,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170417/nutrients
pea,81,14.45,5.7,8.75,0.4,5.42,38,765,0.266,0.132,2.09,0.104,0.169,65,40,0.13,24.8,28.4,0.2,25,0.176,,1.47,33,0.41,108,244,1.8,5,1.24,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170419/nutrients
pea edible-podded,42,7.55,2.6,4.95,0.2,2.8,54,1087,0.15,0.08,0.6,0.75,0.16,42,60,0.39,25,17.4,,43,0.079,,2.08,24,0.244,53,200,0.7,4,0.27,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170010/nutrients
pepper banana,27,5.35,3.4,1.95,0.45,1.66,17,340,0.081,0.054,1.242,0.265,0.357,29,82.7,0.69,9.5,7.4,,14,0.094,,0.46,17,0.1,32,256,0.3,13,0.25,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169394/nutrients
pepper hungarian,29,6.7,1,5.7,0.41,0.8,41,816,0.079,0.055,1.092,0.205,0.517,53,92.9,0.48,9.9,7.7,,12,0.115,,0.46,16,0.204,29,202,0.3,1,0.3,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168578/nutrients
pepper serrano,32,6.7,3.7,3,0.44,1.74,47,937,0.054,0.081,1.537,0.2,0.505,23,44.9,0.69,11.8,8.9,,11,0.129,,0.86,22,0.187,40,305,0.4,10,0.26,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169395/nutrients
pointed gourd,14,2.1,,,,1.6,,,0.06,0.08,0.8,0,0,29,18,0,0,,,26,0.12,,0.5,20,0.1,5,230,0,,0.3,Parwal,,https://www.checkyourfood.com/ingredients/ingredient/740/parwal-marrow
potato (with skin),77,17.49,2.1,15.39,0.09,2.05,0,2,0.081,0.032,1.061,0.295,0.298,15,19.7,0.01,2,12.1,0.2,12,0.11,,0.81,23,0.153,57,425,0.4,6,0.3,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170026/nutrients
potato red (with skin),70,15.9,1.7,14.2,0.14,1.89,0,7,0.081,0.031,1.149,0.279,0.17,18,8.6,0.01,2.9,16.4,0.2,10,0.134,,0.73,22,0.141,61,455,0.5,18,0.33,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170029/nutrients
potato russet (with skin),79,18.07,1.3,16.77,0.08,2.14,0,1,0.082,0.033,1.035,0.301,0.345,14,5.7,0.01,1.8,12.6,0.2,13,0.103,,0.86,23,0.157,55,417,0.4,5,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170027/nutrients
potato skin,58,12.44,2.5,9.94,0.1,2.57,0,0,0.021,0.038,1.033,0.302,0.239,17,11.4,,,,,30,0.423,,3.24,23,0.602,38,413,0.3,10,0.35,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170032/nutrients
potato white (with skin),69,15.71,2.4,13.31,0.1,1.68,0,8,0.071,0.034,1.066,0.281,0.203,18,9.1,0.01,1.6,11,0.2,9,0.116,,0.52,21,0.145,62,407,0.3,16,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170028/nutrients
radish,16,3.4,1.6,1.8,0.1,0.68,0,7,0.012,0.039,0.254,0.165,0.071,25,14.8,0,1.3,6.5,0.1,25,0.05,6,0.34,10,0.069,20,233,0.6,39,0.28,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169276/nutrients
radish greens,25,5.3,4,1.3,0.1,2.2,,1100,0.09,0.16,0.5,0.26,0.18,140,53,3.8,270,,,260,0.04,,3.1,22,0.27,57,400,,48,0.3,,,https://www.onlyfoods.net/radish-greens.html
radish oriental,18,4.1,1.6,2.5,0.1,0.6,0,0,0.02,0.02,0.2,0.138,0.046,28,22,0,0.3,7.3,0.1,27,0.115,,0.4,16,0.038,23,227,0.7,21,0.15,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168451/nutrients
radish white icicle,14,2.63,1.4,1.23,0.1,1.1,0,0,0.03,0.02,0.3,0.184,0.075,14,29,,,,,27,0.099,,0.8,9,0.033,28,280,0.7,16,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170081/nutrients
rapini,22,2.85,2.7,0.15,0.49,3.17,131,2622,0.162,0.129,1.221,0.322,0.171,83,20.2,1.62,224,18.3,0.3,108,0.042,,2.14,22,0.395,73,196,1,33,0.77,Broccoli Rabe,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170381/nutrients
rhubarb,21,4.54,1.8,2.74,0.2,0.9,5,102,0.02,0.03,0.3,0.085,0.024,7,8,0.27,29.3,6.1,,86,0.021,,0.22,12,0.196,14,288,1.1,4,0.1,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167758/nutrients
seaweed agar,26,6.75,0.5,6.25,0.03,0.54,0,0,0.005,0.022,0.055,0.302,0.032,85,0,0.87,2.3,6,,54,0.061,,1.86,67,0.373,5,226,0.7,9,0.58,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169280/nutrients
seaweed irishmoss,49,12.29,1.3,10.99,0.16,1.51,6,118,0.015,0.466,0.593,0.176,0.069,182,3,0.87,5,12.9,,72,0.149,,8.9,144,0.37,157,63,0.7,67,1.95,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168456/nutrients
seaweed kelp,43,9.57,1.3,8.27,0.56,1.68,6,116,0.05,0.15,0.47,0.642,0.002,180,3,0.87,66,12.8,,168,0.13,,2.85,121,0.2,42,89,0.7,233,1.23,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168457/nutrients
seaweed laver,35,5.11,0.3,4.81,0.28,5.81,260,5202,0.098,0.446,1.47,0.521,0.159,146,39,1,4,10.4,,70,0.264,,1.8,2,0.988,58,356,0.7,48,1.05,Nori,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168458/nutrients
seaweed spirulina,26,2.42,0.4,2.02,0.39,5.92,3,56,0.222,0.342,1.196,0.325,0.034,9,0.9,0.49,2.5,6.5,,12,0.597,,2.79,19,0.186,11,127,0.7,98,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170091/nutrients
seaweed wakame,45,9.14,0.5,8.64,0.64,3.03,18,360,0.06,0.23,1.6,0.697,0.002,196,3,1,5.3,13.9,,150,0.284,,2.18,107,1.4,80,50,0.7,872,0.38,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170496/nutrients
snake gourd,21,4.1,,,0.3,0.5,,27,0.04,0.06,0.3,0,0,15,0,0,0,0,,26,0.11,,0.3,53,0.1,20,34,0,,0.1,,,https://www.checkyourfood.com/ingredients/ingredient/1584/snake-gourd
soybean greens,147,11.05,4.2,6.85,6.8,12.95,9,180,0.435,0.175,1.65,0.147,0.065,165,29,,,,,197,0.128,,3.55,65,0.547,194,620,1.5,15,0.99,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169282/nutrients
spinach,23,3.63,2.2,1.43,0.39,2.86,469,9377,0.078,0.189,0.724,0.065,0.195,194,28.1,2.03,482.9,19.3,102.6,99,0.13,,2.71,79,0.897,49,558,1,79,0.53,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168462/nutrients
spinach new zealand,14,2.5,1.5,1,0.2,1.5,,4400,0.04,0.13,0.5,0.312,0.304,15,30,1.42,337,,,58,0.093,,0.8,39,0.639,28,130,0.7,130,0.38,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168440/nutrients
spinach vine,19,3.4,,,0.3,1.8,400,8000,0.05,0.155,0.5,0.053,0.24,140,102,,,,,109,0.107,,1.2,65,0.735,52,510,0.8,24,0.43,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170474/nutrients
spiny gourd,28,3,0,3,1,2,,443,,0.14,0.5,,,,295,,,,,31,0.1,,2,43,0.2,63,420,,,0.6,"Kantola, Kakora, Kankoda",,https://www.checkyourfood.com/ingredients/ingredient/1580/kantola-gourd
sponge gourd,20,4.35,1.1,3.25,0.2,1.2,,410,0.05,0.06,0.4,0.218,0.043,7,12,0.1,0.7,,,20,0.035,,0.36,14,0.092,32,139,0.2,3,0.07,"Towel Gourd, Dishcloth Gourd, Gilki, Turai",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168414/nutrients
squash indian,26,5.64,,,0.2,0.52,,,0.02,0.02,0.17,0.11,0.058,22,4.5,0,,,,9,0.017,,0.17,10,0.027,12,205,,20,0.07,Tinda,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168040/nutrients
squash summer all,16,3.35,1.1,2.25,0.18,1.21,10,200,0.048,0.142,0.487,0.155,0.218,29,17,0.12,3,6.7,,15,0.051,,0.35,17,0.175,38,262,0.2,2,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170487/nutrients
squash summer crookneck/straightneck,19,3.88,1,2.88,0.27,1.01,8,150,0.051,0.041,0.448,0.16,0.104,19,19.3,0.13,3.2,7.1,,21,0.092,,0.44,20,0.172,32,222,0.2,2,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168464/nutrients
squash summer scallop,18,3.84,1.2,2.64,0.2,1.2,11,217,0.07,0.03,0.6,0.102,0.109,30,18,0.13,3.3,7.3,,19,0.102,,0.4,23,0.157,36,182,0.2,1,0.29,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169289/nutrients
squash winter acorn,40,10.42,1.5,8.92,0.1,0.8,18,367,0.14,0.01,0.7,0.4,0.154,17,11,,,,,33,0.065,,0.7,32,0.167,36,347,0.5,3,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168472/nutrients
squash winter all,34,8.59,1.5,7.09,0.13,0.95,68,1367,0.03,0.062,0.5,0.188,0.156,24,12.3,0.12,1.1,10,,28,0.071,,0.58,14,0.163,23,350,0.4,4,0.21,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170489/nutrients
squash winter butternut,45,11.69,2,9.69,0.1,1,532,10630,0.1,0.02,1.2,0.4,0.154,27,21,1.44,1.1,,,48,0.072,,0.7,34,0.202,33,352,0.5,4,0.15,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169295/nutrients
squash winter hubbard,40,8.7,3.9,4.8,0.5,2,68,1367,0.07,0.04,0.5,0.4,0.154,16,11,0.16,1.3,11.8,,14,0.064,,0.4,19,0.179,21,320,0.5,7,0.13,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168475/nutrients
squash winter pumpkin,26,6.5,0.5,6,0.1,1,426,8513,0.05,0.11,0.6,0.298,0.061,16,9,1.06,1.1,8.2,,21,0.127,,0.8,12,0.125,44,340,0.3,1,0.32,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168448/nutrients
squash winter pumpkin flowers,15,3.28,,,0.07,1.03,97,1947,0.042,0.075,0.69,,,59,28,,,,,39,,,0.7,24,,49,173,0.7,5,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169270/nutrients
squash winter pumpkin leaves,19,2.33,,,0.4,3.15,97,1942,0.094,0.128,0.92,0.042,0.207,36,11,,,,,39,0.133,,2.22,38,0.355,104,436,0.9,11,0.2,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169272/nutrients
squash winter spaghetti,31,6.91,1.5,5.41,0.57,0.64,6,120,0.037,0.018,0.95,0.36,0.101,12,2.1,0.13,0.9,8.2,,23,0.037,,0.31,12,0.125,12,108,0.3,17,0.19,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169298/nutrients
squash winter zucchini (with skin),17,3.11,1,2.11,0.32,1.21,10,200,0.045,0.094,0.451,0.204,0.163,24,17.9,0.12,4.3,9.5,,16,0.053,,0.37,18,0.177,38,261,0.2,8,0.32,Courgette,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169291/nutrients
squash winter zucchini baby,21,3.11,1.1,2.01,0.4,2.71,25,490,0.042,0.036,0.705,0.367,0.142,20,34.1,,,,,21,0.097,,0.79,33,0.196,93,459,0.3,3,0.83,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168565/nutrients
sweet potato,86,20.12,3,17.12,0.05,1.57,709,14187,0.078,0.061,0.557,0.8,0.209,11,2.4,0.26,1.8,12.3,,30,0.151,,0.61,25,0.258,47,337,0.6,55,0.3,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168482/nutrients
sweet potato leaves,42,8.82,5.3,3.52,0.51,2.49,189,3778,0.156,0.345,1.13,0.225,0.19,,11,,302.2,,,78,,,0.97,70,,81,508,0.9,6,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169303/nutrients
taro leaves,42,6.7,3.7,3,0.74,4.98,241,4825,0.209,0.456,1.513,0.084,0.146,126,52,2.02,108.6,12.8,,107,0.27,,2.25,45,0.714,60,648,0.9,3,0.41,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168487/nutrients
taro roots,112,26.46,4.1,22.36,0.2,1.5,4,76,0.095,0.025,0.6,0.303,0.283,22,4.5,2.38,1,17.3,,43,0.172,,0.55,33,0.383,84,591,0.7,11,0.23,Aravi,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169308/nutrients
taro shoots,14,3.2,,,0.08,0.73,3,51,0.038,0.053,0.81,0.076,0.112,3,18.9,,,,,14,0.094,,0.41,8,0.13,26,344,1,2,0.54,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169309/nutrients
taro tahitian,44,6.91,,,0.97,2.79,102,2045,0.062,0.244,0.995,0.124,0.116,9,96,,,,,129,0.071,,1.3,47,0.157,45,606,0.7,50,0.09,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169310/nutrients
thyme,101,24.45,14,10.45,1.68,5.56,238,4751,0.048,0.471,1.824,0.409,0.348,45,160.1,,,,,405,0.555,,17.45,160,1.719,106,609,,9,1.81,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173470/nutrients
tomato green,23,5.1,1.1,4,0.2,1.2,32,642,0.06,0.04,0.5,0.5,0.081,9,23.4,0.38,10.1,8.6,,13,0.09,,0.51,10,0.1,28,204,0.4,13,0.07,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170456/nutrients
tomato orange,16,3.18,0.9,2.28,0.19,1.16,75,1496,0.046,0.034,0.593,0.186,0.06,29,16,,,,,5,0.062,,0.47,8,0.088,29,212,0.4,42,0.14,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170502/nutrients
tomato red,18,3.89,1.2,2.69,0.2,0.88,42,833,0.037,0.019,0.594,0.089,0.08,15,13.7,0.54,7.9,6.7,0.1,10,0.059,2.3,0.27,11,0.114,24,237,0,5,0.17,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170457/nutrients
tomato yellow,15,2.98,0.7,2.28,0.26,0.98,0,0,0.041,0.047,1.179,0.11,0.056,30,9,,,,,11,0.101,,0.49,12,0.12,36,258,0.4,23,0.28,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170096/nutrients
turnip,28,6.43,1.8,4.63,0.1,0.9,0,0,0.04,0.03,0.4,0.2,0.09,15,21,0.03,0.1,11.1,,30,0.085,,0.3,11,0.134,27,191,0.7,67,0.27,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170465/nutrients
turnip greens,32,7.13,3.2,3.93,0.3,1.5,579,11587,0.07,0.1,0.6,0.38,0.263,194,60,2.86,251,,,190,0.35,,1.1,31,0.466,42,296,1.2,40,0.19,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170061/nutrients
turnip prairie,156,35.67,8,27.67,0.36,2.62,,,0.178,0.09,1.071,,0.47,10,5.5,,0,4.8,0.1,130,0.053,,1.27,63,0.266,31,156,14.7,5,0.37,"Breadroot, Tipsin",,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169818/nutrients
waterchestnut,97,23.94,3,20.94,0.1,1.4,0,0,0.14,0.2,1,0.479,0.328,16,4,1.2,0.3,36.2,,11,0.326,,0.06,22,0.331,63,584,0.7,14,0.5,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170066/nutrients
watercress,11,1.29,0.5,0.79,0.1,2.3,160,3191,0.09,0.12,0.2,0.31,0.129,9,43,1,250,9,,120,0.077,,0.2,21,0.244,60,330,0.9,41,0.11,Yellowcress,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170068/nutrients
wax gourd,13,3,2.9,0.1,0.2,0.4,0,0,0.04,0.11,0.4,0.133,0.035,5,13,,,,,19,0.023,,0.4,10,0.058,19,6,0.2,111,0.61,Ash Gourd,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170069/nutrients
yam,118,27.88,4.1,23.78,0.17,1.53,7,138,0.112,0.032,0.552,0.314,0.293,23,17.1,0.35,2.3,16.5,,17,0.178,,0.54,21,0.397,55,816,0.7,9,0.24,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170071/nutrients
yardlong beans,47,8.35,,,0.4,2.8,43,865,0.107,0.11,0.41,0.055,0.024,62,18.8,,,,,50,0.048,,0.47,44,0.205,59,240,1.5,4,0.37,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169222/nutrients